,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
78,Thanh Hóa,"Sầm Sơn, Thanh Hóa",228.0,150m² - 250m²,100880000.0,27.0,29.0,23000000000.0,20 tỷ - 40 tỷ,6
79,Hà Nam,"Phủ Lý, Hà Nam",87.8,50m² - 100m²,125280000.0,6.0,3.0,11000000000.0,10 tỷ - 20 tỷ,2
80,Kiên Giang,"Rạch Giá, Kiên Giang",90.0,50m² - 100m²,41670000.0,2.0,2.0,3750000000.0,1 tỷ - 5 tỷ,3
81,Kiên Giang,"Rạch Giá, Kiên Giang",90.0,50m² - 100m²,41670000.0,2.0,2.0,3750000000.0,1 tỷ - 5 tỷ,3
82,Bình Thuận,"Phan Thiết, Bình Thuận",725.0,Trên 500m²,38000000.0,4.0,4.0,27550000000.0,20 tỷ - 40 tỷ,0
83,Bình Thuận,"Phan Thiết, Bình Thuận",230.7,150m² - 250m²,34680000.0,4.0,5.0,8000000000.0,5 tỷ - 10 tỷ,0
84,Kiên Giang,"Rạch Giá, Kiên Giang",80.0,50m² - 100m²,39750000.0,3.0,2.0,3180000000.0,1 tỷ - 5 tỷ,3
85,Nghệ An,"Vinh, Nghệ An",88.0,50m² - 100m²,84090000.0,5.0,4.0,7400000000.0,5 tỷ - 10 tỷ,4
86,Nghệ An,"Vinh, Nghệ An",88.0,50m² - 100m²,84090000.0,5.0,4.0,7400000000.0,5 tỷ - 10 tỷ,4
87,Kiên Giang,"Phú Quốc, Kiên Giang",1132.0,Trên 500m²,12000000.0,3.0,2.0,13580000000.0,10 tỷ - 20 tỷ,3
88,Bình Thuận,"Tuy Phong, Bình Thuận",155.0,150m² - 250m²,10320000.0,2.0,1.0,1600000000.0,1 tỷ - 5 tỷ,0
89,Bình Thuận,"Phan Thiết, Bình Thuận",105.0,100m² - 150m²,49520000.0,3.0,3.0,5200000000.0,5 tỷ - 10 tỷ,0
90,Bình Thuận,"Phan Thiết, Bình Thuận",400.0,350m² - 500m²,37500000.0,3.0,3.0,15000000000.0,10 tỷ - 20 tỷ,0
91,Bắc Ninh,"Từ Sơn, Bắc Ninh",135.0,100m² - 150m²,57780000.0,4.0,5.0,7800000000.0,5 tỷ - 10 tỷ,1
92,Bắc Ninh,"Từ Sơn, Bắc Ninh",100.0,50m² - 100m²,66000000.0,5.0,4.0,6600000000.0,5 tỷ - 10 tỷ,1
93,Bắc Ninh,"Từ Sơn, Bắc Ninh",410.0,350m² - 500m²,13170000.0,1.0,1.0,5400000000.0,5 tỷ - 10 tỷ,1
94,Phú Thọ,"Việt Trì, Phú Thọ",119.4,100m² - 150m²,150000000.0,3.0,2.0,17910000000.0,10 tỷ - 20 tỷ,5
95,Hà Nam,"Phủ Lý, Hà Nam",60.0,50m² - 100m²,81670000.0,3.0,3.0,4900000000.0,1 tỷ - 5 tỷ,2
96,Bình Thuận,"Phan Thiết, Bình Thuận",2200.0,Trên 500m²,100000000.0,58.0,58.0,220000000000.0,100 tỷ - 1000 tỷ,0
97,Kiên Giang,"Rạch Giá, Kiên Giang",91.0,50m² - 100m²,31320000.0,3.0,3.0,2850000000.0,1 tỷ - 5 tỷ,3
98,Kiên Giang,"Rạch Giá, Kiên Giang",80.0,50m² - 100m²,33119999.999999996,3.0,3.0,2650000000.0,1 tỷ - 5 tỷ,3
99,Kiên Giang,"Rạch Giá, Kiên Giang",100.8,100m² - 150m²,16370000.000000002,2.0,1.0,1650000000.0,1 tỷ - 5 tỷ,3
100,Phú Thọ,"Thanh Thủy, Phú Thọ",396.5,350m² - 500m²,35560000.0,5.0,6.0,14100000000.0,10 tỷ - 20 tỷ,5
101,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",115.0,100m² - 150m²,28610000.0,3.0,2.0,3290000000.0,1 tỷ - 5 tỷ,7
